id,year,field
OGLE-2011-BLG-0379,2011,blg
OGLE-2011-BLG-0383,2011,blg
OGLE-2011-BLG-0382,2011,blg
OGLE-2011-BLG-0384,2011,blg
OGLE-2011-BLG-0386,2011,blg
OGLE-2011-BLG-0385,2011,blg
OGLE-2011-BLG-0387,2011,blg
OGLE-2011-BLG-0389,2011,blg
OGLE-2011-BLG-0388,2011,blg
OGLE-2011-BLG-0391,2011,blg
OGLE-2011-BLG-0390,2011,blg
OGLE-2011-BLG-0392,2011,blg
OGLE-2011-BLG-0393,2011,blg
OGLE-2011-BLG-0395,2011,blg
OGLE-2011-BLG-0396,2011,blg
OGLE-2011-BLG-0400,2011,blg
OGLE-2011-BLG-0401,2011,blg
OGLE-2011-BLG-0402,2011,blg
OGLE-2011-BLG-0403,2011,blg
OGLE-2011-BLG-0404,2011,blg
OGLE-2011-BLG-0406,2011,blg
OGLE-2011-BLG-0405,2011,blg
OGLE-2011-BLG-0407,2011,blg
OGLE-2011-BLG-0409,2011,blg
OGLE-2011-BLG-0410,2011,blg
OGLE-2011-BLG-0408,2011,blg
OGLE-2011-BLG-0414,2011,blg
OGLE-2011-BLG-0415,2011,blg
OGLE-2011-BLG-0412,2011,blg
OGLE-2011-BLG-0413,2011,blg
OGLE-2011-BLG-0416,2011,blg
OGLE-2011-BLG-0417,2011,blg
OGLE-2011-BLG-0419,2011,blg
OGLE-2011-BLG-0418,2011,blg
OGLE-2011-BLG-0424,2011,blg
OGLE-2011-BLG-0421,2011,blg
OGLE-2011-BLG-0423,2011,blg
OGLE-2011-BLG-0420,2011,blg
OGLE-2011-BLG-0422,2011,blg
OGLE-2011-BLG-0425,2011,blg
OGLE-2011-BLG-0426,2011,blg
OGLE-2011-BLG-0429,2011,blg
OGLE-2011-BLG-0427,2011,blg
OGLE-2011-BLG-0428,2011,blg
OGLE-2011-BLG-0430,2011,blg
OGLE-2011-BLG-0433,2011,blg
OGLE-2011-BLG-0435,2011,blg
OGLE-2011-BLG-0432,2011,blg
OGLE-2011-BLG-0431,2011,blg
OGLE-2011-BLG-0436,2011,blg
OGLE-2011-BLG-0434,2011,blg
OGLE-2011-BLG-0437,2011,blg
OGLE-2011-BLG-0438,2011,blg
OGLE-2011-BLG-0439,2011,blg
OGLE-2011-BLG-0440,2011,blg
OGLE-2011-BLG-0442,2011,blg
OGLE-2011-BLG-0443,2011,blg
OGLE-2011-BLG-0446,2011,blg
OGLE-2011-BLG-0445,2011,blg
OGLE-2011-BLG-0447,2011,blg
OGLE-2011-BLG-0450,2011,blg
OGLE-2011-BLG-0456,2011,blg
OGLE-2011-BLG-0451,2011,blg
OGLE-2011-BLG-0457,2011,blg
OGLE-2011-BLG-0458,2011,blg
OGLE-2011-BLG-0452,2011,blg
OGLE-2011-BLG-0453,2011,blg
OGLE-2011-BLG-0459,2011,blg
OGLE-2011-BLG-0455,2011,blg
OGLE-2011-BLG-0460,2011,blg
OGLE-2011-BLG-0463,2011,blg
OGLE-2011-BLG-0466,2011,blg
OGLE-2011-BLG-0467,2011,blg
OGLE-2011-BLG-0468,2011,blg
OGLE-2011-BLG-0462,2011,blg
OGLE-2011-BLG-0469,2011,blg
OGLE-2011-BLG-0465,2011,blg
OGLE-2011-BLG-0464,2011,blg
OGLE-2011-BLG-0470,2011,blg
OGLE-2011-BLG-0471,2011,blg
OGLE-2011-BLG-0472,2011,blg
OGLE-2011-BLG-0475,2011,blg
OGLE-2011-BLG-0473,2011,blg
OGLE-2011-BLG-0477,2011,blg
OGLE-2011-BLG-0479,2011,blg
OGLE-2011-BLG-0476,2011,blg
OGLE-2011-BLG-0480,2011,blg
OGLE-2011-BLG-0481,2011,blg
OGLE-2011-BLG-0482,2011,blg
OGLE-2011-BLG-0483,2011,blg
OGLE-2011-BLG-0484,2011,blg
OGLE-2011-BLG-0487,2011,blg
OGLE-2011-BLG-0488,2011,blg
OGLE-2011-BLG-0490,2011,blg
OGLE-2011-BLG-0489,2011,blg
OGLE-2011-BLG-0485,2011,blg
OGLE-2011-BLG-0491,2011,blg
OGLE-2011-BLG-0492,2011,blg
OGLE-2011-BLG-0495,2011,blg
OGLE-2011-BLG-0494,2011,blg
OGLE-2011-BLG-0499,2011,blg
OGLE-2011-BLG-0496,2011,blg
OGLE-2011-BLG-0497,2011,blg
OGLE-2011-BLG-0500,2011,blg
OGLE-2011-BLG-0501,2011,blg
OGLE-2011-BLG-0502,2011,blg
OGLE-2011-BLG-0503,2011,blg
OGLE-2011-BLG-0504,2011,blg
OGLE-2011-BLG-0505,2011,blg
OGLE-2011-BLG-0511,2011,blg
OGLE-2011-BLG-0506,2011,blg
OGLE-2011-BLG-0507,2011,blg
OGLE-2011-BLG-0510,2011,blg
OGLE-2011-BLG-0508,2011,blg
OGLE-2011-BLG-0512,2011,blg
OGLE-2011-BLG-0513,2011,blg
OGLE-2011-BLG-0514,2011,blg
OGLE-2011-BLG-0516,2011,blg
OGLE-2011-BLG-0517,2011,blg
OGLE-2011-BLG-0519,2011,blg
OGLE-2011-BLG-0518,2011,blg
OGLE-2011-BLG-0521,2011,blg
OGLE-2011-BLG-0520,2011,blg
OGLE-2011-BLG-0522,2011,blg
OGLE-2011-BLG-0524,2011,blg
OGLE-2011-BLG-0523,2011,blg
OGLE-2011-BLG-0525,2011,blg
OGLE-2011-BLG-0526,2011,blg
OGLE-2011-BLG-0527,2011,blg
OGLE-2011-BLG-0528,2011,blg
OGLE-2011-BLG-0529,2011,blg
OGLE-2011-BLG-0530,2011,blg
OGLE-2011-BLG-0531,2011,blg
OGLE-2011-BLG-0534,2011,blg
OGLE-2011-BLG-0532,2011,blg
OGLE-2011-BLG-0533,2011,blg
OGLE-2011-BLG-0535,2011,blg
OGLE-2011-BLG-0536,2011,blg
OGLE-2011-BLG-0538,2011,blg
OGLE-2011-BLG-0537,2011,blg
OGLE-2011-BLG-0539,2011,blg
OGLE-2011-BLG-0540,2011,blg
OGLE-2011-BLG-0541,2011,blg
OGLE-2011-BLG-0542,2011,blg
OGLE-2011-BLG-0543,2011,blg
OGLE-2011-BLG-0544,2011,blg
OGLE-2011-BLG-0545,2011,blg
OGLE-2011-BLG-0546,2011,blg
OGLE-2011-BLG-0547,2011,blg
OGLE-2011-BLG-0548,2011,blg
OGLE-2011-BLG-0549,2011,blg
OGLE-2011-BLG-0550,2011,blg
OGLE-2011-BLG-0551,2011,blg
OGLE-2011-BLG-0552,2011,blg
OGLE-2011-BLG-0553,2011,blg
OGLE-2011-BLG-0554,2011,blg
OGLE-2011-BLG-0555,2011,blg
OGLE-2011-BLG-0556,2011,blg
OGLE-2011-BLG-0559,2011,blg
OGLE-2011-BLG-0558,2011,blg
OGLE-2011-BLG-0557,2011,blg
OGLE-2011-BLG-0560,2011,blg
OGLE-2011-BLG-0561,2011,blg
OGLE-2011-BLG-0562,2011,blg
OGLE-2011-BLG-0563,2011,blg
OGLE-2011-BLG-0564,2011,blg
OGLE-2011-BLG-0565,2011,blg
OGLE-2011-BLG-0567,2011,blg
OGLE-2011-BLG-0568,2011,blg
OGLE-2011-BLG-0569,2011,blg
OGLE-2011-BLG-0572,2011,blg
OGLE-2011-BLG-0573,2011,blg
OGLE-2011-BLG-0574,2011,blg
OGLE-2011-BLG-0575,2011,blg
OGLE-2011-BLG-0579,2011,blg
OGLE-2011-BLG-0580,2011,blg
OGLE-2011-BLG-0581,2011,blg
OGLE-2011-BLG-0582,2011,blg
OGLE-2011-BLG-0583,2011,blg
OGLE-2011-BLG-0584,2011,blg
OGLE-2011-BLG-0585,2011,blg
OGLE-2011-BLG-0586,2011,blg
OGLE-2011-BLG-0587,2011,blg
OGLE-2011-BLG-0590,2011,blg
OGLE-2011-BLG-0588,2011,blg
OGLE-2011-BLG-0589,2011,blg
OGLE-2011-BLG-0591,2011,blg
OGLE-2011-BLG-0592,2011,blg
OGLE-2011-BLG-0593,2011,blg
OGLE-2011-BLG-0594,2011,blg
OGLE-2011-BLG-0595,2011,blg
OGLE-2011-BLG-0596,2011,blg
OGLE-2011-BLG-0597,2011,blg
OGLE-2011-BLG-0601,2011,blg
OGLE-2011-BLG-0599,2011,blg
OGLE-2011-BLG-0600,2011,blg
OGLE-2011-BLG-0602,2011,blg
OGLE-2011-BLG-0603,2011,blg
OGLE-2011-BLG-0605,2011,blg
OGLE-2011-BLG-0606,2011,blg
OGLE-2011-BLG-0607,2011,blg
OGLE-2011-BLG-0608,2011,blg
OGLE-2011-BLG-0609,2011,blg
OGLE-2011-BLG-0610,2011,blg
OGLE-2011-BLG-0611,2011,blg
OGLE-2011-BLG-0612,2011,blg
OGLE-2011-BLG-0614,2011,blg
OGLE-2011-BLG-0613,2011,blg
OGLE-2011-BLG-0615,2011,blg
OGLE-2011-BLG-0617,2011,blg
OGLE-2011-BLG-0616,2011,blg
OGLE-2011-BLG-0618,2011,blg
OGLE-2011-BLG-0619,2011,blg
OGLE-2011-BLG-0621,2011,blg
OGLE-2011-BLG-0620,2011,blg
OGLE-2011-BLG-0623,2011,blg
OGLE-2011-BLG-0624,2011,blg
OGLE-2011-BLG-0622,2011,blg
OGLE-2011-BLG-0626,2011,blg
OGLE-2011-BLG-0627,2011,blg
OGLE-2011-BLG-0628,2011,blg
OGLE-2011-BLG-0629,2011,blg
OGLE-2011-BLG-0631,2011,blg
OGLE-2011-BLG-0630,2011,blg
OGLE-2011-BLG-0634,2011,blg
OGLE-2011-BLG-0635,2011,blg
